name,value
Dadra and Nagar Haveli,15783.00
Daman and Diu,7965.00
Goa,2466.00
Gujarat,2279.00
Chhattisgarh,2016.00
Maharashtra,1307.00
Madhya Pradesh,989.00
Puducherry,1784.00
Tamil Nadu,1847.00
Andhra Pradesh,1319.00
Telangana,1551.00
Karnataka,1367.00
Kerala,763.00
Lakshadweep,633.00
Punjab,2028.00
Haryana,1975.00
Delhi,1574.00
Himachal Pradesh,1340.00
Uttarakhand,1454.00
Chandigarh,1128.00
Jammu and Kashmir,1282.00
Rajasthan,1166.00
Uttar Pradesh,585.00
Odisha,1622.00
Sikkim,806.00
Jharkhand,915.00
West Bengal,665.00
Andaman and Nicobar Islands,370.00
Bihar,272.00
Arunachal Pradesh,648.00
Meghalaya,832.00
Mizoram,523.00
Nagaland,345.00
Tripura,470.00
Assam,339.00
Manipur,326.00